mut_type,protein_id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length
 ,108,1885,8,0,11,57,120,10541
 ,109,1868,12,0,11,17,120,10541
 ,110,1720,18,0,17,148,120,10541
 ,111,1586,24,0,11,134,120,10541
 ,112,1474,16,0,11,112,120,10541
 ,113,1402,25,0,11,72,120,10541
 ,114,773,23,0,14,629,120,10541
 ,115,416,7,0,11,357,120,10541
 ,116,309,16,0,11,107,120,10541
 ,117,244,24,0,11,65,120,10541
 ,118,241,23,0,11,3,120,10541
 ,119,158,19,0,11,572,120,10541
