event_type,protein_id, protein parent id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length,m,w,h,c,f
TRANS,126,126,158,19,0,11,572,120,10541,0.580645,0.00714286,0.517342,0.4,functional
 ,125,125,241,23,0,11,3,120,10541,0.745055,0.01,0.870968,0.4,functional
 ,124,124,244,24,0,11,65,120,10541,0.745055,0.01,-0.0793651,0.4,functional
 ,123,123,309,16,0,11,107,120,10541,0.307087,0.00857143,0.52381,0.4,functional
 ,0,0,316,7,0,4,454,120,10541,0.571429,0.00333333,-0.333333,0.2,functional
 ,1,1,360,57,0,4,44,120,10541,0.591266,0.00738945,0.546764,0.4,functional
 ,122,122,416,7,0,11,357,120,10541,0,0.01,-1,0.4,functional
 ,2,2,465,22,0,4,105,120,10541,0.637795,0.00677419,0.499511,0.4,functional
 ,3,3,538,25,0,4,73,120,10541,0.622047,0.00803922,0.466276,0.4,functional
 ,4,4,614,15,0,4,76,120,10541,0.677419,0.00933333,0.492063,0.4,functional
 ,121,121,773,23,0,14,629,120,10541,0.656166,0.01,0.480315,0.4,functional
 ,28,28,1402,25,0,11,72,120,10541,0.706888,0.00666667,0.687195,0.2,functional
 ,27,27,1474,16,0,11,112,120,10541,0.213307,0.01,0.269841,0.2,functional
 ,37,37,1586,24,0,11,134,120,10541,0.252446,0.01,0.687912,0.2,functional
 ,97,97,1595,14,0,3,981,120,10541,0.897638,0.01,0.0322581,0.4,functional
 ,36,36,1720,18,0,17,148,120,10541,0.682353,0.00857143,0.511811,0.4,functional
 ,35,35,1868,12,0,11,17,120,10541,0.225806,0.00285714,-0.2,0.2,functional
 ,34,34,1885,8,0,11,57,120,10541,0.6,0.01,1,0.2,functional
 ,33,33,1942,13,0,11,237,120,10541,0.142857,0.01,0.0588235,0.2,functional
 ,98,98,2003,35,0,4,408,120,10541,0.174603,0.00998779,0.123544,0.2,functional
 ,99,99,2051,19,0,4,48,120,10541,0.733333,0.000393701,-0.254902,0.2,functional
 ,100,100,2106,15,0,4,55,120,10541,0.466667,0,-0.952756,0.2,non functional
 ,101,101,2109,14,0,4,3,120,10541,0.466667,0,-0.904762,0.2,non functional
 ,32,32,2179,28,0,11,3,120,10541,0.691105,0.00761905,0.894994,0.4,functional
 ,31,31,2182,29,0,11,146,120,10541,0.691105,0.00761905,-0.0526187,0.4,functional
 ,30,30,2328,6,0,8,323,120,10541,0.857143,0.01,1,0.2,functional
 ,102,102,2368,14,0,4,259,120,10541,0.2,0.01,0.259843,0.2,functional
 ,103,103,2424,12,0,4,56,120,10541,0.700787,0.01,0.714286,0.4,functional
 ,5,5,2576,10,0,3,152,120,10541,0.733333,0.01,0.741935,0.4,functional
 ,6,6,2650,19,0,3,74,120,10541,0.297456,0.01,0.548387,0.4,functional
 ,116,116,2651,9,0,15,267,120,10541,0.428571,0.01,0.0666667,0.6,functional
 ,7,7,2757,32,0,3,107,120,10541,0.362035,0.00741935,0.593764,0.6,functional
 ,115,115,2918,23,0,15,134,120,10541,0.653543,0.00945098,0.443137,0.6,functional
 ,8,8,2962,2,0,3,205,120,10541,0.5,0,-1,0.6,non functional
 ,9,9,2965,1,0,3,3,120,10541,0.5,0,-1,0.6,non functional
 ,114,114,3052,20,0,15,582,120,10541,0.387097,0.00952381,0.522505,0.6,functional
 ,10,10,3169,16,0,4,204,120,10541,0.6,0.00333333,-0.619048,0.2,functional
 ,11,11,3246,22,0,4,77,120,10541,0.921569,0.00984127,0.027451,0.2,functional
 ,12,12,3339,22,0,4,93,120,10541,0.342466,0.00714286,0.751711,0.2,functional
 ,113,113,3634,20,0,8,367,120,10541,0.622047,0.00857143,0.517107,0.4,functional
 ,13,13,3646,24,0,4,307,120,10541,0.812454,0.01,1,0.2,functional
 ,14,14,3762,19,0,4,116,120,10541,0.239216,0.01,0.498039,0.2,functional
 ,15,15,3882,29,0,4,120,120,10541,0.423265,0.00952941,0.398144,0.2,functional
 ,112,112,4001,27,0,8,52,120,10541,0.686275,0.00612524,0.485826,0.4,functional
 ,111,111,4053,17,0,8,103,120,10541,0.637795,0.00714286,0.496063,0.4,functional
 ,110,110,4156,24,0,8,53,120,10541,0.377953,0.0068254,0.514411,0.4,functional
 ,109,109,4209,19,0,8,73,120,10541,0.333333,0.00290323,-0.309873,0.4,functional
 ,16,16,4281,20,0,4,399,120,10541,0.412698,0.01,0.48728,0.4,functional
 ,108,108,4282,25,0,8,300,120,10541,0.631373,0.00705882,0.48728,0.4,functional
 ,17,17,4380,38,0,4,99,120,10541,0.830972,0.00715681,0.34667,0.4,functional
 ,18,18,4428,22,0,4,48,120,10541,0.677104,0.00904762,0.496063,0.4,functional
 ,19,19,4518,4,0,4,90,120,10541,0,0,-1,0.4,non functional
 ,107,107,4582,23,0,8,58,120,10541,0.622047,0.00741935,0.522228,0.4,functional
 ,106,106,4640,19,0,8,136,120,10541,0.645161,0.00677419,0.499022,0.4,functional
 ,20,20,4670,15,0,4,152,120,10541,0.83871,0.01,0.52381,0.4,functional
 ,21,21,4750,12,0,4,80,120,10541,0.333333,0.00888889,1,0.4,functional
 ,105,105,4776,26,0,8,621,120,10541,0.886275,0.00469208,0.129412,0.2,functional
 ,22,22,4875,20,0,4,125,120,10541,0.612903,0.00818898,0.6,0.4,functional
 ,23,23,4973,6,0,4,98,120,10541,0.6,0.01,1,0.4,functional
 ,24,24,5021,7,0,4,48,120,10541,0.571429,0.01,0.333333,0.4,functional
 ,25,25,5101,22,0,4,80,120,10541,0.909804,0.00984252,0.0393701,0.2,functional
 ,38,38,5299,11,0,3,198,120,10541,0.571429,0.01,0.543307,0.4,functional
